val,serialid
59516,1894
25972,24255
33545,28360
989,400
3763,1497
4887,3773
2013,386
5125,4322
667,565
647,87
1328,38
1729,121
1416,1021
3402,1549
3180,2818
1150,1035
846,51
271,122
2134,284
45273,35105
25572,3396
19701,11721
972,112
3066,1633
4588,3522
1629,1061
1000,95
667,27
609,517
444,210
1414,767
3129,335
2117,539
14243,13719
400,307
13844,12679
697,656
299,274
384,103
4126,3841
637,186
719,615
1285,639
273,109
3168,2345
1127,806
826,150
268,241
858654,66106
382979,190022
475704,157949
11862,8144
49140,33589
68254,55518
25746,14152
72357,22274
8745,4642
8468,2897
17866,14939
25547,24956
18873,1181
46050,45112
62723,34092
16392,12169
11760,8685
3603,2027
28318,14144
641333,15265
377631,68412
263731,177157
11669,11146
40176,33544
63972,12915
20888,6503
13616,5241
8742,4627
7822,4077
6512,317
18843,16362
42407,24194
28116,14998
217321,127631
5348,1964
211973,16200
8964,3764
4282,3321
4859,2587
58742,1934
8356,6241
10044,9691
19035,1678
3643,3101
62553,4748
16077,6453
11412,10146
3578,2560
58588,34779
25721,14369
32868,10846
922,610
3595,1627
4825,3125
1983,1467
5134,4544
637,351
652,555
1386,1343
1729,368
1430,71
3324,400
2979,2315
1149,959
873,696
278,221
1972,1941
44475,28603
25298,11034
19177,3781
905,793
2934,2130
4557,2121
1629,1259
977,422
637,28
631,202
412,217
1421,1316
3040,2530
1959,1123
14113,9421
423,69
13691,2202
661,490
268,168
353,201
4157,1478
640,124
755,91
1318,194
284,213
2969,1117
1119,876
851,747
277,42
862338,216652
391434,165331
470946,170691
11058,4582
47728,4489
65840,27509
25438,11705
74336,15087
8520,1885
8818,858
18317,12067
25662,6060
19943,12910
44674,42970
61801,42933
17059,7198
12063,176
3712,1013
25977,6726
642371,50555
385745,351492
256668,81737
10861,1383
38891,23566
62196,16287
20859,20188
13588,2894
8517,6174
7925,2307
6437,5065
19831,18247
40693,36380
25816,17663
219966,167248
5689,4507
214277,3251
8837,4544
3644,1718
4579,898
60748,22713
8667,7896
10392,5689
19226,842
3981,3945
61664,48140
16645,4926
11717,11409
3704,2756